epoch,acc,cat_acc,dice_coef,f1_m,iou_coef,jacard_coef,loss,precision_m,recall_m,subset_accuracy,val_acc,val_cat_acc,val_dice_coef,val_f1_m,val_iou_coef,val_jacard_coef,val_loss,val_precision_m,val_recall_m,val_subset_accuracy
0,0.5620902,0.5620902,0.12635665,0.21602058,-0.0893471,9.287964,0.043137373991481875,0.7028771,0.14098586,0.84119785,0.6447781,0.6447781,0.033787098,0.49643415,-0.104955286,11.901825,0.08129969212907151,0.71670544,0.41957784,0.87937313
1,0.7109357,0.7109357,0.04000864,0.36351305,-0.08035908,8.611492,0.024104764539627108,0.88520616,0.2754321,0.85841024,0.65306675,0.65306675,0.050024167,0.46166512,-0.09995976,10.649589,0.058656173613585105,0.76579463,0.38335443,0.87324643
2,0.73579127,0.73579127,0.025420675,0.3928009,-0.079133414,8.679926,0.02229352097002026,0.90466934,0.30188143,0.86253345,0.65281993,0.65281993,0.04731938,0.45285916,-0.09866529,10.733949,0.05720765617891,0.75712377,0.37642387,0.8737943
