epoch,acc,cat_acc,dice_coef,f1_m,iou_coef,jacard_coef,loss,precision_m,recall_m,subset_accuracy,val_acc,val_cat_acc,val_dice_coef,val_f1_m,val_iou_coef,val_jacard_coef,val_loss,val_precision_m,val_recall_m,val_subset_accuracy
20,0.840754,0.840754,0.8294456,0.84160334,0.73505706,0.7168788,0.12006527019871606,0.8545286,0.8292384,0.9483045,0.7237124,0.7237124,0.7100967,0.7226775,0.5932285,0.56141376,0.12802926049782679,0.73813593,0.7080339,0.9113173
21,0.84693223,0.84693223,0.8351696,0.8480015,0.7403839,0.7235139,0.11962719098932442,0.8617102,0.83489746,0.9502548,0.6382646,0.6382646,0.62603265,0.6338351,0.4856429,0.46169555,0.13357768654823304,0.64512485,0.62305194,0.8828974
22,0.8627212,0.8627212,0.8531365,0.8636095,0.7631872,0.74886996,0.1185925868107898,0.874065,0.85349494,0.9551706,0.70163304,0.70163304,0.6910594,0.7006324,0.5631283,0.5347123,0.12943148085704217,0.7131475,0.688691,0.9037459
23,0.86531705,0.86531705,0.8562592,0.8662388,0.7669995,0.7533724,0.11843024984972687,0.87605137,0.85673046,0.95599127,0.7228126,0.7228126,0.711746,0.7217507,0.5901678,0.55931413,0.1280427838747318,0.73502505,0.7090881,0.9107027
24,0.86726046,0.86726046,0.85823405,0.8681674,0.7697162,0.75625443,0.11830739711207905,0.8779713,0.8586646,0.9565601,0.70267415,0.70267415,0.6924715,0.70122564,0.5618253,0.5363258,0.12953840860953697,0.7131632,0.68981135,0.90351564
25,0.8683965,0.8683965,0.8594728,0.8693003,0.77127975,0.7581563,0.11822648283622274,0.8790942,0.85981125,0.9569443,0.7092521,0.7092521,0.70036066,0.7079075,0.57145995,0.5450058,0.1291123282450896,0.7184188,0.6977885,0.9057524
26,0.8700678,0.8700678,0.8614945,0.8709339,0.7743393,0.76141536,0.1181173312595521,0.8801939,0.8619441,0.957471,0.68677765,0.68677765,0.67466235,0.6844388,0.5415409,0.51571274,0.1307030079456476,0.6953745,0.6739363,0.89746594
27,0.8767985,0.8767985,0.8686882,0.8776711,0.7840446,0.77195346,0.11767342723763309,0.8863042,0.8692724,0.9595959,0.6638719,0.6638719,0.65507615,0.6612472,0.52078813,0.493081,0.13241590078060445,0.66983426,0.65294254,0.89036983
28,0.8791085,0.8791085,0.87135905,0.87998194,0.78766817,0.7760376,0.11752704422478474,0.88810396,0.8720663,0.9603008,0.6672517,0.6672517,0.6582264,0.66485876,0.519441,0.49609658,0.13210019056613628,0.674187,0.65586555,0.8914457
29,0.88156116,0.88156116,0.87407005,0.8824075,0.79134715,0.7801066,0.11736626306484485,0.8900702,0.8749279,0.9610766,0.693465,0.693465,0.68623054,0.69215894,0.55461025,0.5274726,0.13032754545028394,0.7006894,0.6838936,0.90022874
30,0.8767534,0.8767534,0.8691885,0.8776085,0.7850528,0.7732091,0.11768914987529375,0.88559484,0.86982524,0.9595885,0.62111217,0.62111217,0.61383843,0.61827046,0.4718878,0.44745567,0.13528122924841368,0.62805843,0.60884833,0.8770629
31,0.88344777,0.88344777,0.87604433,0.8842739,0.7941949,0.78324366,0.11724282304445903,0.8918692,0.8768559,0.96166575,0.6172133,0.6172133,0.60751384,0.6124956,0.463652,0.44142115,0.1356824067922739,0.6202607,0.6049711,0.8746761
32,0.8880963,0.8880963,0.8812683,0.8889117,0.80175364,0.7912528,0.11693125061148428,0.89578164,0.88218695,0.9631629,0.7005843,0.7005843,0.69267595,0.6991075,0.5633251,0.5357361,0.1299144779260342,0.7073533,0.69110787,0.9023578
33,0.8903952,0.8903952,0.88382816,0.8912117,0.80529314,0.795226,0.11677995883642028,0.89774275,0.8848105,0.9638982,0.6864875,0.6864875,0.6784897,0.6838663,0.54070365,0.5188845,0.13089908613608434,0.6915437,0.6764039,0.8977151
34,0.8916834,0.8916834,0.88526094,0.89244837,0.8073762,0.79749036,0.11669541355864756,0.89883953,0.8861833,0.9642984,0.7759606,0.7759606,0.76926136,0.7758578,0.6581435,0.6321488,0.12462907685683323,0.78401667,0.76791483,0.92745316
35,0.893741,0.893741,0.88758785,0.8944846,0.81061584,0.801059,0.11656121632719406,0.9005741,0.8885079,0.9649467,0.74920726,0.74920726,0.7436324,0.7491145,0.6255629,0.59784704,0.12654754427763132,0.75626546,0.7421327,0.91864866
36,0.8948537,0.8948537,0.88868827,0.8955836,0.812316,0.8028772,0.11648426530347473,0.90151995,0.88975513,0.96530676,0.7500073,0.7500073,0.74458057,0.7495528,0.62494063,0.599343,0.1265179922947517,0.75631756,0.74294025,0.91868085
37,0.89633316,0.89633316,0.8903417,0.8970769,0.8148206,0.80551755,0.11638305356219354,0.902874,0.89138454,0.96579134,0.79367584,0.79367584,0.7869918,0.7934993,0.6761098,0.6549048,0.12341369963609256,0.8014923,0.7857027,0.9330179
38,0.89683354,0.89683354,0.89098394,0.8975458,0.81568575,0.8065255,0.11635341586623613,0.9030986,0.8920875,0.9659238,0.7816638,0.7816638,0.77484936,0.7813891,0.6618358,0.6394275,0.12428865661987891,0.7895421,0.7734471,0.92900854
39,0.89883,0.89883,0.89312565,0.89952826,0.8187838,0.8099289,0.11621951842787621,0.9048963,0.8942487,0.96656513,0.7605875,0.7605875,0.75356585,0.7595112,0.63150215,0.61081094,0.12575851678848265,0.7668375,0.75235957,0.9220179
40,0.89683414,0.89683414,0.8909176,0.8975375,0.8157873,0.8065886,0.11635615662368322,0.9030868,0.89208376,0.96588546,0.8027062,0.8027062,0.79610324,0.80207133,0.6897029,0.6681624,0.12286145503704364,0.80889326,0.7953933,0.93574166
41,0.8997807,0.8997807,0.8942563,0.90044,0.8205246,0.8117677,0.11615526216582776,0.9055257,0.8954359,0.9668568,0.7945856,0.7945856,0.78825575,0.79405326,0.67647356,0.6568505,0.12339153083471152,0.80054694,0.78769255,0.933171
42,0.90245515,0.90245515,0.8970741,0.90309614,0.824758,0.816278,0.11597599594414919,0.908016,0.89825046,0.96772015,0.7933156,0.7933156,0.7875757,0.7931841,0.6776483,0.6559394,0.12351062848017766,0.8001618,0.7863586,0.9327653
43,0.90372044,0.90372044,0.89853454,0.90435195,0.8269037,0.81858414,0.115889561730098,0.9090698,0.8997026,0.9681346,0.7732532,0.7732532,0.7675788,0.77285784,0.6489498,0.6280525,0.12492687220756825,0.7795143,0.76634145,0.9261421
44,0.9031064,0.9031064,0.89774513,0.9037084,0.8256674,0.8172795,0.11593160789702588,0.908525,0.89896303,0.96789366,0.7817147,0.7817147,0.77577543,0.78106207,0.65585726,0.63852936,0.1243423383969527,0.7875689,0.7746864,0.92885405
45,0.90303946,0.90303946,0.8978005,0.9036205,0.82583714,0.81751704,0.11594001963106608,0.90827656,0.8990318,0.9678648,0.8157717,0.8157717,0.810351,0.8156004,0.708299,0.68786246,0.12194816252359977,0.8214916,0.8098157,0.93998
46,0.9056454,0.9056454,0.9005852,0.90619916,0.8299367,0.8218019,0.11576419660528958,0.91059935,0.9018585,0.96869993,0.80800205,0.80800205,0.80338746,0.80821574,0.6986959,0.6777313,0.12247026986800708,0.81413406,0.8024036,0.9376838
47,0.9045681,0.9045681,0.89954406,0.90511054,0.8283669,0.8202321,0.11583928718192367,0.9094267,0.9008524,0.96833223,0.81211054,0.81211054,0.8076498,0.812622,0.7041901,0.6839388,0.12220740776795608,0.8184064,0.8069372,0.93892574
48,0.90733784,0.90733784,0.9024822,0.9079027,0.8327723,0.8249621,0.11564894431623919,0.9120884,0.90377176,0.96924245,0.8274447,0.8274447,0.8226369,0.82748705,0.7248809,0.7052267,0.12111479124197592,0.8336246,0.82146144,0.9439824
49,0.90629655,0.90629655,0.90134877,0.9068306,0.83103937,0.8231146,0.11571887238272305,0.910991,0.90272295,0.9688733,0.83292705,0.83292705,0.8284084,0.8328936,0.73356944,0.7136459,0.12077659483139332,0.8377411,0.8281184,0.94561565
50,0.90920556,0.90920556,0.9044953,0.9097109,0.8359006,0.82824224,0.11552376177347483,0.9136338,0.90583754,0.9698186,0.82949513,0.82949513,0.8251332,0.8294189,0.73084205,0.7095533,0.12104954226658894,0.83404887,0.82485557,0.94440293
51,0.9111644,0.9111644,0.9066561,0.91165257,0.83918464,0.83175325,0.11539027657202834,0.9153041,0.9080426,0.97045624,0.83673024,0.83673024,0.8327783,0.83671135,0.7405554,0.720538,0.12053429427055212,0.8410093,0.83247167,0.94680846
52,0.91081494,0.91081494,0.9063368,0.9113163,0.8386451,0.8312213,0.11541178400032365,0.91496694,0.90770966,0.97035676,0.82620794,0.82620794,0.8220269,0.8261529,0.72693366,0.7054647,0.12126874728844717,0.8306799,0.8216906,0.9433683
53,0.90978116,0.90978116,0.9051324,0.9102632,0.83692247,0.82930845,0.11548283362183077,0.9139887,0.9065812,0.9699804,0.8340027,0.8340027,0.82968414,0.83396816,0.73542964,0.7155409,0.12071605932254058,0.83854854,0.8294518,0.9458702
54,0.9109146,0.9109146,0.90641856,0.9113906,0.83870447,0.83131003,0.11540805539865603,0.9149656,0.9078556,0.9703559,0.82693845,0.82693845,0.8227839,0.8267635,0.7272437,0.70616436,0.12121401807436576,0.830945,0.822636,0.9436342
55,0.9128136,0.9128136,0.90850854,0.91328144,0.8419858,0.83481604,0.1152771551204824,0.9166855,0.90991515,0.97099286,0.8363541,0.8363541,0.83199453,0.8363445,0.73944706,0.7191199,0.12051233431467644,0.8414754,0.8312933,0.9468612
56,0.91162264,0.91162264,0.9071658,0.9120785,0.84009475,0.83261645,0.11536038398628491,0.91557443,0.9086197,0.9705683,0.8183337,0.8183337,0.8146291,0.8180884,0.71729255,0.6946655,0.12183024734258652,0.821727,0.8144931,0.9408301
57,0.91310465,0.91310465,0.9087509,0.9135806,0.84232116,0.8352097,0.11525282808989858,0.9169872,0.91021097,0.97106314,0.82462054,0.82462054,0.8206917,0.824612,0.7250672,0.70313346,0.12134310511442331,0.82915705,0.8201302,0.94313985
58,0.9123446,0.9123446,0.90797347,0.91281784,0.84112716,0.8339408,0.11530557711576593,0.9163014,0.9093717,0.9708187,0.8338083,0.8338083,0.83017665,0.83405465,0.73688644,0.7167464,0.1206766379567293,0.83888364,0.8292982,0.9461544
59,0.91449815,0.91449815,0.91031337,0.9149711,0.8447227,0.8377309,0.1151576392152757,0.91828513,0.9116919,0.97154355,0.8327809,0.8327809,0.82895815,0.83274543,0.73522884,0.715004,0.12081196480072462,0.83694744,0.8285974,0.94554913
60,0.91602635,0.91602635,0.911872,0.9165038,0.84717417,0.8403274,0.11505076012277969,0.919774,0.9132681,0.97204494,0.8426166,0.8426166,0.8390299,0.8425994,0.7480415,0.72931373,0.12014070611733657,0.8464177,0.83882624,0.9485939
61,0.917453,0.917453,0.913409,0.9178937,0.8495982,0.84283906,0.11495625470333172,0.9210114,0.91480726,0.97248757,0.83782727,0.83782727,0.83436173,0.8379254,0.7389046,0.72173804,0.1204936941082661,0.8416608,0.8342329,0.9469449
62,0.91850066,0.91850066,0.9145613,0.9189678,0.85140795,0.8448264,0.11488334446346166,0.9219706,0.91599464,0.97285235,0.74542904,0.74542904,0.7421192,0.74568844,0.61902493,0.5946624,0.12707781195640563,0.7496433,0.7417878,0.91640615
63,0.9185267,0.9185267,0.9145245,0.91897875,0.85127926,0.8447386,0.11488184038820852,0.9219777,0.9160087,0.9728457,0.84428006,0.84428006,0.84082997,0.84418195,0.7512089,0.73230135,0.12001108561570828,0.8479025,0.8405048,0.94918954
64,0.9197638,0.9197638,0.9158683,0.920187,0.8533988,0.8469781,0.11479737132901889,0.9230269,0.91737306,0.9732364,0.84258294,0.84258294,0.8391506,0.8425381,0.74807805,0.729936,0.12011178170259182,0.8463841,0.83873844,0.9487632
65,0.9201564,0.9201564,0.91624945,0.92058766,0.8540446,0.84766406,0.1147667483009141,0.92346066,0.91774124,0.973368,0.8395427,0.8395427,0.8358398,0.8394988,0.7432713,0.7245605,0.12036569611384318,0.84332293,0.8357191,0.94757354
66,0.92059207,0.92059207,0.9167591,0.9210046,0.85487664,0.84851205,0.11474354585125986,0.92376304,0.9182709,0.9734935,0.84134555,0.84134555,0.83793545,0.8414301,0.74550724,0.7273078,0.1202319277020601,0.84519666,0.8377064,0.9481
67,0.9206131,0.9206131,0.91677785,0.9210218,0.8547985,0.84850013,0.11474076872584464,0.9237654,0.9183022,0.9734953,0.84821004,0.84821004,0.8450508,0.84808975,0.75531363,0.738457,0.11973092659161641,0.8514178,0.8447945,0.95053184
68,0.9167974,0.9167974,0.9129015,0.9172441,0.84853935,0.8420243,0.11499830184083332,0.92016333,0.9143525,0.9722834,0.8452433,0.8452433,0.8415479,0.8451019,0.75152516,0.73327863,0.11992721546154755,0.8490605,0.8411918,0.94954675
69,0.92009,0.92009,0.91622055,0.9205038,0.85388505,0.8475496,0.11477641684227977,0.9232699,0.9177617,0.97331554,0.84627944,0.84627944,0.8430861,0.84628946,0.7528634,0.7355843,0.11989024384663655,0.8494468,0.8431638,0.94975644
70,0.92192286,0.92192286,0.9181553,0.92232513,0.8570653,0.8508352,0.11464816565942947,0.9249826,0.91968995,0.97392505,0.8393791,0.8393791,0.83614355,0.83943987,0.7430105,0.72487897,0.12036422158663089,0.84300816,0.83590966,0.9475597
71,0.92287576,0.92287576,0.9192688,0.92325205,0.8588096,0.85270065,0.11458573170662839,0.92571396,0.9208098,0.9742325,0.84192467,0.84192467,0.8382472,0.841803,0.746681,0.7284873,0.12018269254611089,0.84575766,0.83789766,0.9483549
72,0.92232865,0.92232865,0.9186517,0.9227184,0.857858,0.8516662,0.11462458585642307,0.9252103,0.9202455,0.9740338,0.8406048,0.8406048,0.8375498,0.8407369,0.7464272,0.7271407,0.12025658362186872,0.8445096,0.83700806,0.94820446
73,0.92422706,0.92422706,0.92068887,0.92460245,0.86109585,0.8551083,0.11449302849984261,0.92702955,0.9221938,0.97468,0.8448747,0.8448747,0.8416631,0.8447656,0.75145215,0.7332016,0.11998128627355283,0.84814173,0.84142363,0.94937897
