epoch,acc,cat_acc,dice_coef,f1_m,iou_coef,jacard_coef,loss,precision_m,recall_m,subset_accuracy,val_acc,val_cat_acc,val_dice_coef,val_f1_m,val_iou_coef,val_jacard_coef,val_loss,val_precision_m,val_recall_m,val_subset_accuracy
0,0.67901105,0.67901105,0.6519936,0.98380625,0.5408956,0.6836023,0.12790100624021214,0.782113,2.308686,0.9144455,0.6793708,0.6793708,0.66582423,0.9485892,0.5593905,0.65605223,0.12878257414469352,0.73760235,2.31741,0.9112166
1,0.70677704,0.70677704,0.68427783,1.0218282,0.5710281,0.6201869,0.12620972602189273,0.8070253,2.3279061,0.92240244,0.6834988,0.6834988,0.67177516,0.9417327,0.5654628,0.6442211,0.12937326339574962,0.7241066,2.324463,0.9077426
2,0.7109951,0.7109951,0.6877205,1.0256262,0.57425207,0.6134261,0.1260142641006416,0.8104993,2.3289316,0.9232407,0.680709,0.680709,0.67009693,0.93430614,0.5643846,0.6474662,0.12971572165305797,0.7166449,2.3240435,0.90620995
