epoch,acc,cat_acc,dice_coef,f1_m,iou_coef,jacard_coef,loss,precision_m,recall_m,subset_accuracy,val_acc,val_cat_acc,val_dice_coef,val_f1_m,val_iou_coef,val_jacard_coef,val_loss,val_precision_m,val_recall_m,val_subset_accuracy
0,0.5615757,0.5615757,0.516538,0.8001613,0.40463722,0.9497097,0.1345035956023525,0.6458475,2.2361856,0.88788956,0.6750291,0.6750291,0.64206725,0.9587177,0.53062564,0.70303494,0.12848820818158296,0.766121,2.2999132,0.91187495
1,0.66471654,0.66471654,0.63521624,0.9793872,0.5217582,0.7165684,0.12863868272995355,0.7802166,2.3035073,0.9107907,0.7011768,0.7011768,0.6758612,0.98001254,0.5691577,0.63646567,0.1276564913873489,0.76973486,2.3215826,0.9152818
2,0.6704959,0.6704959,0.6435832,0.9856973,0.53068274,0.70012736,0.1282465009882304,0.78192675,2.3092637,0.91249305,0.69908726,0.69908726,0.6757706,0.9687884,0.56975496,0.6365757,0.12799461392255929,0.7562473,2.322449,0.9138327
