epoch,acc,cat_acc,dice_coef,f1_m,iou_coef,jacard_coef,loss,precision_m,recall_m,subset_accuracy,val_acc,val_cat_acc,val_dice_coef,val_f1_m,val_iou_coef,val_jacard_coef,val_loss,val_precision_m,val_recall_m,val_subset_accuracy
0,0.5275359,0.5275359,0.4974716,0.49371034,0.38990352,0.38990352,0.13507086487479822,0.6478337,0.44708604,0.8864533,0.6232238,0.6232238,0.59006196,0.59597445,0.47707012,0.47707012,0.12971269092880763,0.8149751,0.5266712,0.90619165
1,0.5854511,0.5854511,0.5673968,0.5946782,0.45563406,0.4556341,0.13144836048827546,0.74966985,0.52939343,0.8992878,0.63993895,0.63993895,0.6087438,0.63455594,0.4964134,0.4964134,0.12927234327563872,0.7911411,0.5671113,0.9076473
2,0.5964872,0.5964872,0.57446194,0.6049861,0.46109805,0.4610981,0.13111354501282804,0.7473836,0.54035294,0.9013424,0.6458408,0.6458408,0.6112176,0.631763,0.499922,0.49992195,0.12936078395981054,0.77965105,0.5677502,0.907548
