epoch,acc,cat_acc,dice_coef,f1_m,iou_coef,jacard_coef,loss,precision_m,recall_m,subset_accuracy,val_acc,val_cat_acc,val_dice_coef,val_f1_m,val_iou_coef,val_jacard_coef,val_loss,val_precision_m,val_recall_m,val_subset_accuracy
0,0.45333853,0.45333853,0.41953036,0.70081276,0.3064056,1.1402789,0.1398604399385466,0.5532458,2.196472,0.86759204,0.590236,0.590236,0.53443635,0.9249891,0.41061744,0.92472994,0.13320266590877014,0.73420805,2.2751393,0.897245
1,0.5300461,0.5300461,0.50377375,0.8948022,0.3944064,0.9747411,0.13465326765402294,0.7355607,2.2322547,0.8913048,0.59702784,0.59702784,0.5839075,0.8796711,0.4756772,0.82799804,0.13295251469720493,0.6776788,2.2848513,0.89634436
2,0.539945,0.539945,0.515176,0.9246743,0.41033497,0.95225847,0.13390701867896934,0.77552724,2.2280767,0.89368045,0.59842515,0.59842515,0.58663696,0.87342626,0.47944286,0.82261074,0.13313813507556915,0.67015654,2.286147,0.8948198
