epoch,acc,cat_acc,dice_coef,f1_m,iou_coef,jacard_coef,loss,my_mean_iou,precision_m,recall_m,subset_accuracy,val_acc,val_cat_acc,val_dice_coef,val_f1_m,val_iou_coef,val_jacard_coef,val_loss,val_my_mean_iou,val_precision_m,val_recall_m,val_subset_accuracy
0,0.5845293402671814,0.5845293402671814,0.5446325540542603,0.91544508934021,0.4333440959453583,0.8945585489273071,0.13273945450782776,0.18921422958374023,0.749342143535614,2.2475244998931885,0.8943496346473694,0.643406093120575,0.643406093120575,0.6123839616775513,0.9433607459068298,0.48878926038742065,0.7649508714675903,0.1304735541343689,0.284015029668808,0.7320632338523865,2.298807382583618,0.9035384654998779
1,0.7195762991905212,0.7195762991905212,0.6856943964958191,1.0269495248794556,0.5731846690177917,0.6174675822257996,0.12669497728347778,0.35850289463996887,0.802390992641449,2.331803798675537,0.9177631139755249,0.6409355998039246,0.6409355998039246,0.6172343492507935,0.9037569165229797,0.49102362990379333,0.7546128034591675,0.13177311420440674,0.3065641522407532,0.6833239793777466,2.3088090419769287,0.8975304365158081
2,0.7404521703720093,0.7404521703720093,0.7117211818695068,1.0439953804016113,0.5993857383728027,0.5662834644317627,0.1256193220615387,0.38738498091697693,0.8101725578308105,2.346921920776367,0.9232296347618103,0.6648053526878357,0.6648053526878357,0.6449229717254639,0.9207801222801208,0.5228822231292725,0.7003936767578125,0.1311701089143753,0.33646178245544434,0.6964836120605469,2.3171205520629883,0.8980556726455688
3,0.7636327147483826,0.7636327147483826,0.7342991828918457,1.0647574663162231,0.6214191317558289,0.5219249725341797,0.12448563426733017,0.4352918565273285,0.8259948492050171,2.356269598007202,0.9282567501068115,0.7092975378036499,0.7092975378036499,0.6878283619880676,0.9749792218208313,0.567275881767273,0.6159684658050537,0.12856616079807281,0.389824241399765,0.7416737079620361,2.336872100830078,0.9090805649757385
4,0.7832896709442139,0.7832896709442139,0.758177638053894,1.074987530708313,0.64842289686203,0.4750126898288727,0.12341997772455215,0.46783018112182617,0.8260525465011597,2.373763084411621,0.9326626062393188,0.7284611463546753,0.7284611463546753,0.7013490200042725,0.995700478553772,0.5812938809394836,0.5895008444786072,0.12765221297740936,0.41529813408851624,0.7548444867134094,2.3509130477905273,0.9128475785255432
5,0.7892225980758667,0.7892225980758667,0.7669497728347778,1.0765583515167236,0.660493016242981,0.45773446559906006,0.1231430396437645,0.4696682393550873,0.8232216238975525,2.3811280727386475,0.9341164827346802,0.7373830676078796,0.7373830676078796,0.7181164622306824,1.006219506263733,0.60024094581604,0.5562196373939514,0.12688937783241272,0.4273066222667694,0.7618591785430908,2.35764741897583,0.9170382022857666
6,0.801630973815918,0.801630973815918,0.780884861946106,1.089846134185791,0.6755351424217224,0.43036624789237976,0.12234579771757126,0.49140670895576477,0.8331021666526794,2.388347625732422,0.9378788471221924,0.7218590378761292,0.7218590378761292,0.703581690788269,0.9856102466583252,0.586138904094696,0.584852933883667,0.12806907296180725,0.41245540976524353,0.7449781894683838,2.350309371948242,0.9110886454582214
7,0.808499813079834,0.808499813079834,0.7892879843711853,1.0976780652999878,0.6857808232307434,0.41384345293045044,0.12189950048923492,0.5032243132591248,0.8392703533172607,2.39229416847229,0.9400990009307861,0.7367989420890808,0.7367989420890808,0.7169914841651917,1.0038261413574219,0.5993859767913818,0.558570384979248,0.12707924842834473,0.4341793358325958,0.7602447271347046,2.3564486503601074,0.9159296154975891
8,0.8116146922111511,0.8116146922111511,0.7926557064056396,1.1005884408950806,0.6894285082817078,0.40722373127937317,0.12173658609390259,0.5067205429077148,0.8413516283035278,2.3940205574035645,0.9407422542572021,0.7475150227546692,0.7475150227546692,0.7305542230606079,1.0177335739135742,0.616227388381958,0.5315781235694885,0.126296728849411,0.4445933401584625,0.770979642868042,2.363539934158325,0.9197714924812317
9,0.8104442358016968,0.8104442358016968,0.7912439107894897,1.0984078645706177,0.6877623200416565,0.41000425815582275,0.12182723730802536,0.5112097263336182,0.8393322825431824,2.3933324813842773,0.940224289894104,0.7483412623405457,0.7483412623405457,0.7284278869628906,1.019027829170227,0.6128149628639221,0.5360448360443115,0.1263311803340912,0.4471330940723419,0.7726542949676514,2.3627755641937256,0.9190717935562134
10,0.815777063369751,0.815777063369751,0.7972636818885803,1.1036874055862427,0.6951534152030945,0.3981724977493286,0.1215086281299591,0.518040120601654,0.8431591987609863,2.3964552879333496,0.9417006969451904,0.7474960088729858,0.7474960088729858,0.7302723526954651,1.0157854557037354,0.6160345673561096,0.532295823097229,0.12643900513648987,0.44590476155281067,0.7686677575111389,2.3640565872192383,0.9186537861824036
11,0.8229732513427734,0.8229732513427734,0.8048274517059326,1.1114349365234375,0.7041358947753906,0.3833286464214325,0.12105253338813782,0.5257236361503601,0.8491750359535217,2.400602340698242,0.9437337517738342,0.7625875473022461,0.7625875473022461,0.7450973391532898,1.0336607694625854,0.6289224624633789,0.5028900504112244,0.12544433772563934,0.471347838640213,0.7828144431114197,2.371347427368164,0.9231098294258118
12,0.8262726664543152,0.8262726664543152,0.8091134428977966,1.1132382154464722,0.7090979814529419,0.3749017119407654,0.12087098509073257,0.533406138420105,0.8496754765510559,2.4030628204345703,0.9445472359657288,0.7571964263916016,0.7571964263916016,0.7391975522041321,1.0271735191345215,0.6234307885169983,0.5146162509918213,0.12583062052726746,0.46710968017578125,0.7778003811836243,2.368394136428833,0.9211003184318542
